"Name","Symbol","Atomic_Number","Atomic_Weight","Density","Melting_Point","Boiling_Point","Phase","Absolute_Melting_Point","Absolute_Boiling_Point","Critical_Pressure","Critical_Temperature","Heat_of_Fusion","Heat_of_Vaporization","Heat_of_Combustion","Specific_Heat","Adiabatic_Index","Neel_Point","Thermal_Conductivity","Thermal_Expansion","Density_Liquid","Molar_Volume","Brinell_Hardness","Mohs_Hardness","Vickers_Hardness","Bulk_Modulus","Shear_Modulus","Young_Modulus","Poisson_Ratio","Refractive_Index","Speed_of_Sound","Valence","Electronegativity","ElectronAffinity","Autoignition_Point","Flashpoint","DOT_Hazard_Class","DOT_Numbers","EU_Number","NFPA_Fire_Rating","NFPA_Health_Rating","NFPA_Reactivity_Rating","RTECS_Number","Alternate_Names","Block","Group","Period","Electron_Configuration","Color","Gas_phase","CAS_Number","CID_Number","Gmelin_Number","NSC_Number","Electrical_Type","Electrical_Conductivity","Resistivity","Superconducting_Point","Magnetic_Type","Curie_Point","Mass_Magnetic_Susceptibility","Molar_Magnetic_Susceptibility","Volume_Magnetic_Susceptibility","Percent_in_Universe","Percent_in_Sun","Percent_in_Meteorites","Percent_in_Earths_Crust","Percent_in_Oceans","Percent_in_Humans","Atomic_Radius","Covalent_Radius","Van_der_Waals_Radius","Space_Group_Name","Space_Group_Number","HalfLife","Lifetime","Decay_Mode","Quantum_Numbers","Neutron_Cross_Section","Neutron_Mass_Absorption","Graph.Period","Graph.Group"
"Hydrogen","H",1,1.00794,0.0899,14.01,20.28,"Gas",14.01,20.28,1293000,32.97,0.558,0.452,,14300,"7/5",,0.1805,,,0.01121,,,,,,,,1.000132,1270,1,2.2,72.8,808.65,255.15,2.1,1966,"EU215-605-7",4,3,0,"RTECSMW8900000",,"s","1","1","1s1","Colorless","Diatomic","CAS1333-74-0","CID783","Gmelin3",,,,,,"Diamagnetic",,-2.48e-08,-2.5e-11,-2.23e-09,75,75,2.4,0.15,11,10,5.3e-11,3.7e-11,1.2e-10,"P63/mmc",194,Inf,Inf,,"2S1/2",0.332,0.011,1,1
"Helium","He",2,4.002602,0.1785,,4.21999999999997,"Gas",,4.22,,5.19,0.02,0.083,,,"5/3",,0.1513,,,0.022424,,,,,,,,1.000035,970,0,,0,,,2.2,1963,"EU231-168-5",0,1,0,,,"p","18","1","[Xe]4f56s2","Colorless","Monoatomic","CAS7440-59-7","CID23987","Gmelin16294",,,,,,"Diamagnetic",,-5.9e-09,-2.36e-11,-1.05e-09,23,23,,5.5e-07,7.2e-10,,3.1e-11,3.2e-11,1.4e-10,"Fm_
3m",225,Inf,Inf,,"1S0",0.007,1e-05,1,18
"Lithium","Li",3,6.941,535,453.69,1615.15,"Solid",453.69,1615,,3223,3,147,-298,1820,,,85,4.6e-05,512,1.297e-05,,6e+05,,1.1e+10,4.2e+09,4.9e+09,,,6000,1,0.98,59.6,452.15,,4.3,1415,"EU231-102-5",2,3,2,"RTECSDS1750000",,"s","1","2","[He]2s2","Silver",,"CAS7439-93-2","CID3028194","Gmelin30",,"Conductor",1.1e+07,9.4e-08,,"Paramagnetic",,6.3e-09,4.37e-11,3.37e-06,6e-07,6e-09,0.00017,0.0017,1.8e-05,3e-06,1.67e-10,1.34e-10,1.82e-10,"Im_
3m",229,Inf,Inf,,"2S1/2",0.045,,2,1
"Beryllium","Be",4,9.012182,1848,1560.15,2743.15,"Solid",1560,2743,,,7.95,297,,240,,,190,1.13e-05,1690,4.8767e-06,6e+08,5500000,1.67e+09,1.3e+11,1.32e+11,2.87e+11,0.032,,13000,2,1.57,0,,,6.1,1567,"EU231-150-7",1,3,0,"RTECSLW3850000",,"s","2","2","[Xe]4f75d16s2","SlateGray",,"CAS7440-41-7","CID5460467","Gmelin16256",,"Conductor",2.5e+07,4e-08,0.026,"Diamagnetic",,-1.26e-08,-1.136e-10,-2.328e-05,1e-07,1e-08,2.9e-06,0.00019,6e-11,4e-08,1.12e-10,9e-11,,"P63/mmc",194,Inf,Inf,,"1S0",0.0092,3e-05,2,2
"Boron","B",5,10.811,2460,2348.15,4273.15,"Solid",2348,4273,3390000,,50,507,,1040,,,27,6e-06,2080,4.3947e-06,,9300000,4.9e+10,3.2e+11,,,,,16200,3,2.04,26.7,,,,,"EU231-151-2",3,2,0,"RTECSQW9700000",,"p","13","2","[He]2s22p3","Black",,"CAS7440-42-8","CID5462311","Gmelin16262",,"Insulator",1e-04,10000,,"Diamagnetic",,-8.7e-09,-9.41e-11,-2.14e-05,1e-07,2e-07,0.00016,0.00086,0.00044,7e-05,8.7e-11,8.2e-11,,"R_
3m",166,Inf,Inf,,"2P1/2",755,2.4,2,13
"Carbon","C",6,12.0107,2260,3823.15,4300.15,"Solid",3823,4300,,,105,715,-393,165,,,140,7.1e-06,,5.3145e-06,,5e+05,,3.3e+10,,,,2.417,18350,4,2.55,153.9,758.15,,4.2,1361,"EU231-153-3",1,0,0,,,"p","14","2","[Xe]4f116s2","Black",,"CAS7440-44-0","CID5462310","Gmelin8868",,"Conductor",1e+05,1e-05,,"Diamagnetic",,-6.2e-09,-7.45e-11,-1.4e-05,0.5,0.3,1.5,0.18,0.0028,23,6.7e-11,7.7e-11,1.7e-10,"P63/mmc",194,Inf,Inf,,"3P0",0.0035,1.5e-05,2,14
"Nitrogen","N",7,14.0067,1.251,63.05,77.36,"Gas",63.05,77.36,2760000,126.21,0.36,2.79,,1030,"7/5",,0.02583,,,0.011196,,,,,,,,1.000298,333.6,3,3.04,7,,,2.2,1977,"EU231-783-9",0,3,0,"RTECSQP4450000",,"p","15","2","[He]2s22p6","Colorless","Diatomic","CAS7727-37-9","CID947","Gmelin150",,,,,,"Diamagnetic",,-1e-08,-1.401e-10,-1.251e-08,0.1,0.1,0.14,0.002,5e-05,2.6,5.6e-11,7.5e-11,1.55e-10,"P63/mmc",194,Inf,Inf,,"4S3/2",1.91,0.0048,2,15
"Oxygen","O",8,15.9994,1.429,54.85,90.25,"Gas",54.8,90.2,,154.59,0.222,3.41,,154,"7/5",,0.02658,,,0.011196,,,,,,,,1.000271,317.5,2,3.44,141,,,2.2,1073,"EU231-956-9",0,3,2,"RTECSZG1925000",,"p","16","2","[Xe]4f146s2","Colorless","Diatomic","CAS7782-44-7","CID977","Gmelin485",,,,,,"Paramagnetic",,1.335e-06,2.13592e-08,1.90772e-06,1,0.9,40,46,86,61,4.8e-11,7.3e-11,1.52e-10,"C12/m1",12,Inf,Inf,,"3P2",0.00028,1e-06,2,16
"Fluorine","F",9,18.9984032,1.696,53.55,85.03,"Gas",53.5,85.03,,144.13,0.26,3.27,,904,"7/5",,0.0277,,,0.011202,,,,,,,,1.000195,,1,3.98,328,,,2.3,9192,"EU231-954-8",0,4,4,"RTECSBD0330000",,"p","17","2","[Ne]3s23p1","Colorless","Diatomic","CAS7782-41-4","CID24524","Gmelin16281",,,,,,,,,,,4e-05,5e-05,0.0087,0.054,0.00013,0.0037,4.2e-11,7.1e-11,1.47e-10,"C12/c1",15,Inf,Inf,,"2P3/2",0.0096,2e-05,2,17
"Neon","Ne",10,20.1797,0.9,24.56,27.07,"Gas",24.56,27.07,,44.4,0.34,1.75,,140,"5/3",,0.0491,,,0.02242,,,,,,,,1.000067,936,0,,0,,,2.2,1913,"EU231-110-9",,,,"RTECSWW5505000",,"p","18","2","[Xe]4f145d36s2","Colorless","Monoatomic","CAS7440-01-9","CID23935","Gmelin16211",,,,,,"Diamagnetic",,-4.1e-09,-8.27e-11,-3.69e-09,0.13,0.1,,3e-07,1.2e-08,,3.8e-11,6.9e-11,1.54e-10,"Fm_
3m",225,Inf,Inf,,"1S0",0.04,6e-04,2,18
"Sodium","Na",11,22.98977,968,370.87,1156.15,"Solid",370.87,1156,20700000,2573,2.6,97.7,,705,,,140,7.1e-05,927,2.375e-05,690000,5e+05,,6.3e+09,3.3e+09,1e+10,,,3200,1,0.93,52.8,388.15,277.15,4.3,1428,"EU231-132-9",3,3,2,,"Natrium","s","1","3","[Ne]3s23p4","Silver",,"CAS7440-23-5","CID923","Gmelin563",,"Conductor",2.1e+07,4.7e-08,,"Paramagnetic",,6.4e-09,1.47e-10,6.2e-06,0.002,0.004,0.55,2.3,1.1,0.14,1.9e-10,1.54e-10,2.27e-10,"Im_
3m",229,Inf,Inf,,"2S1/2",0.53,7e-04,3,1
"Magnesium","Mg",12,24.305,1738,923.15,1363.15,"Solid",923,1363,,,8.7,128,-668,130,,,160,8.2e-06,1584,1.3984e-05,2.6e+08,2500000,,4.5e+10,1.7e+10,4.5e+10,0.29,,4602,2,1.31,0,745.15,773.15,4.1,2950,"EU231-104-6",1,0,1,"RTECSRN1100000",,"s","2","3","[Xe]4f145d66s2","Silver",,"CAS7439-95-4","CID888","Gmelin16207","NSC529832","Conductor",2.3e+07,4.4e-08,,"Paramagnetic",,6.9e-09,1.68e-10,1.2e-05,0.06,0.07,12,2.9,0.13,0.027,1.45e-10,1.3e-10,1.73e-10,"P63/mmc",194,Inf,Inf,,"1S0",0.063,1e-04,3,2
"Aluminum","Al",13,26.981538,2700,933.47,2792.15,"Solid",933.47,2792,1.6e+07,,10.7,293,,757,,,235,2.31e-05,2375,9.99e-06,2.45e+08,2750000,1.67e+08,7.6e+10,2.6e+10,7e+10,0.35,,5100,3,1.61,42.5,673.15,918.15,4.3,1396,"EU231-072-3",1,0,1,"RTECSTS6460000","Aluminium","p","13","3","[Ar]4s1","Silver",,"CAS7429-90-5","CID5359268","Gmelin16248",,"Conductor",3.8e+07,2.6e-08,1.175,"Paramagnetic",,7.8e-09,2.1e-10,2.11e-05,0.005,0.006,0.91,8.1,5e-07,9e-05,1.18e-10,1.18e-10,,"Fm_
3m",225,Inf,Inf,,"2P1/2",0.233,0.03,3,13
